Is cuda available:  True cuda
Number of training images: 7095
Epoch 104/150, Train Loss: 0.2765787325061119, Val Loss: 8.279911518096924, R^2 Score: 0.08207744359970093
Epoch 105/150, Train Loss: 0.2381103776798055, Val Loss: 8.29596449647631, R^2 Score: 0.08027112483978271
Epoch 106/150, Train Loss: 0.24029879181368932, Val Loss: 8.380649481500898, R^2 Score: 0.06989103555679321
Epoch 107/150, Train Loss: 0.19162326262475135, Val Loss: 8.296361105782646, R^2 Score: 0.07885885238647461
Epoch 108/150, Train Loss: 0.20764686435729535, Val Loss: 8.39045752797808, R^2 Score: 0.06963425874710083
Epoch 109/150, Train Loss: 0.21540994517639414, Val Loss: 8.400070147854942, R^2 Score: 0.06768089532852173
Epoch 110/150, Train Loss: 0.20926880604914716, Val Loss: 8.384596186024803, R^2 Score: 0.06976783275604248
Epoch 111/150, Train Loss: 0.1933190850121481, Val Loss: 8.674274734088353, R^2 Score: 0.03883659839630127
Epoch 112/150, Train Loss: 0.19916560703905317, Val Loss: 8.248361783368248, R^2 Score: 0.08534884452819824
Epoch 113/150, Train Loss: 0.24175925187028205, Val Loss: 8.869070853505816, R^2 Score: 0.016979575157165527
Epoch 114/150, Train Loss: 0.264851336644308, Val Loss: 8.941276158605303, R^2 Score: 0.009747743606567383
Epoch 115/150, Train Loss: 0.2907278920012014, Val Loss: 8.56072334732328, R^2 Score: 0.04944503307342529
Epoch 116/150, Train Loss: 0.2460188161044776, Val Loss: 8.554993322917394, R^2 Score: 0.050715744495391846
Epoch 117/150, Train Loss: 0.20819291599967457, Val Loss: 8.493315841470446, R^2 Score: 0.05783581733703613
Epoch 118/150, Train Loss: 0.18758645447323452, Val Loss: 8.75589279617582, R^2 Score: 0.02848672866821289
Epoch 119/150, Train Loss: 0.18314737423851685, Val Loss: 8.329687442098345, R^2 Score: 0.07570427656173706
Epoch 120/150, Train Loss: 0.16236322227160674, Val Loss: 8.375995653016227, R^2 Score: 0.06984966993331909
Epoch 121/150, Train Loss: 0.1756106770958181, Val Loss: 8.262074725968498, R^2 Score: 0.08340293169021606
Epoch 122/150, Train Loss: 0.1859266033714956, Val Loss: 8.346933203084129, R^2 Score: 0.07464665174484253
Epoch 123/150, Train Loss: 0.19165333169134888, Val Loss: 8.484133064746857, R^2 Score: 0.059492290019989014
Epoch 124/150, Train Loss: 0.23191310834508758, Val Loss: 8.64637759753636, R^2 Score: 0.04026055335998535
Epoch 125/150, Train Loss: 0.2395256794989109, Val Loss: 8.447622171470098, R^2 Score: 0.061627745628356934
Epoch 126/150, Train Loss: 0.25535470086175044, Val Loss: 8.545399631772723, R^2 Score: 0.05091613531112671
Epoch 127/150, Train Loss: 0.2664112837330715, Val Loss: 8.665862951959882, R^2 Score: 0.03637266159057617
Epoch 128/150, Train Loss: 0.23844919806799372, Val Loss: 8.573763029915947, R^2 Score: 0.04803389310836792
Epoch 129/150, Train Loss: 0.17496277230816917, Val Loss: 9.012496403285436, R^2 Score: -0.00015676021575927734
Epoch 130/150, Train Loss: 0.16907790905653355, Val Loss: 8.642915299960546, R^2 Score: 0.04145777225494385
Epoch 131/150, Train Loss: 0.15770231316554117, Val Loss: 8.516839333942958, R^2 Score: 0.054540157318115234
Epoch 132/150, Train Loss: 0.14055262960762055, Val Loss: 8.55893405846187, R^2 Score: 0.05008357763290405
Epoch 133/150, Train Loss: 0.14044230874325778, Val Loss: 8.329305001667567, R^2 Score: 0.07616549730300903
Epoch 134/150, Train Loss: 0.1581562419195433, Val Loss: 8.510833288942065, R^2 Score: 0.05553102493286133
